dataset,pred_len,naive,paper_dlinear,patchtst,paper_patchtst
electricity,96,1.6080604791641235,0.14,0.13569797575473785,0.13
electricity,336,1.629638910293579,0.169,0.16592684388160706,0.167
traffic,96,2.7363274097442627,0.41,0.37088558077812195,
weather,96,0.25715017318725586,0.196,0.14762821793556213,0.152
weather,336,0.37431007623672485,0.283,0.2477261871099472,0.249
