run_name,patch_len,stride,seq_len,num_patches,attention_pairs,mse_inv,mae_inv,avg_epoch_s
weather_patchtst_L336_T96_P16S8_seed42,16,8,336,42.0,1764.0,1628.7344970703125,11.849913597106934,104.67449122667313
weather_patchtst_T96_L192,16,8,192,24.0,576.0,1861.0325927734375,12.555441856384277,9.163983007272085
weather_patchtst_T96_L336,16,8,336,42.0,1764.0,1605.09375,11.505217552185059,12.985472718874613
weather_patchtst_T96_L96,16,8,96,12.0,144.0,2833.28515625,15.2852783203125,7.919733711651394
weather_patchtst_T96_P16S8,16,8,336,42.0,1764.0,1628.7344970703125,11.849913597106934,233.65445949633917
weather_patchtst_T96_P32S16,32,16,336,21.0,441.0,1811.1925048828125,13.228246688842773,148.97937135262922
weather_patchtst_T96_P8S4,8,4,336,84.0,7056.0,1613.881591796875,11.852696418762207,630.4978934251345
