epoch,train_loss,val_loss,val_mae,epoch_time_s
0,0.4575798729200757,0.4483335614204407,0.29284459352493286,14.867414951324463
1,0.4186743918456353,0.4590111970901489,0.29449960589408875,13.93297815322876
2,0.4070311043218524,0.4428067207336426,0.2900470197200775,13.613345384597778
3,0.3992258517678314,0.43585118651390076,0.28692543506622314,13.612180233001709
4,0.3932961185738327,0.4290887415409088,0.28587204217910767,13.591392993927002
5,0.3878689690233847,0.42540404200553894,0.28905150294303894,13.627611637115479
6,0.3827092630937499,0.436614453792572,0.2926580607891083,13.622613668441772
7,0.377319004095574,0.44634607434272766,0.2997487783432007,13.621285438537598
8,0.3718243579627967,0.45160922408103943,0.30309954285621643,13.62914514541626
9,0.3671623229378666,0.4672536551952362,0.3054710328578949,13.617533206939697
10,0.36221646587507467,0.4729580283164978,0.30941516160964966,13.621602058410645
11,0.35791693572887107,0.5032350420951843,0.31624868512153625,13.614094972610474
12,0.35330677978347746,0.5296278595924377,0.32053589820861816,13.619918584823608
13,0.34950613703405364,0.4936463236808777,0.31649187207221985,13.607649087905884
