epoch,train_loss,val_loss,val_mae,epoch_time_s
0,0.28970941472584777,0.3426617980003357,0.25184303522109985,191.11368680000305
1,0.24729077836937555,0.34554171562194824,0.2562711536884308,190.1541142463684
2,0.24041763498403187,0.33923324942588806,0.2451273500919342,190.14095187187195
3,0.23645944286648443,0.3390697240829468,0.2453167736530304,191.5768449306488
4,0.23366084137452284,0.33554431796073914,0.23932144045829773,197.68996405601501
5,0.2314907397715165,0.33416974544525146,0.23789645731449127,198.9852421283722
6,0.2296828725988361,0.3308863639831543,0.23322410881519318,199.43834686279297
7,0.22829510123644384,0.33007705211639404,0.23370066285133362,198.4091579914093
8,0.22703970396220885,0.33140090107917786,0.23520728945732117,198.09621858596802
9,0.22603300401964838,0.32848694920539856,0.23267516493797302,168.22798323631287
10,0.22496234164255685,0.3279184103012085,0.23301765322685242,129.1365668773651
11,0.22417414498280866,0.32570138573646545,0.228488028049469,129.1175560951233
12,0.22333804871648008,0.3278847336769104,0.23268921673297882,129.2473475933075
13,0.22259265334319617,0.3246266841888428,0.22845013439655304,129.18580865859985
14,0.22191525285385655,0.32465824484825134,0.22858811914920807,129.0427565574646
15,0.22125547223804287,0.3227423131465912,0.226159006357193,129.14985466003418
16,0.2206625678424977,0.32638615369796753,0.22972875833511353,129.11151838302612
17,0.220079935760131,0.32713350653648376,0.2318982183933258,128.95227670669556
18,0.21948483289495502,0.32700058817863464,0.2316296100616455,129.08749747276306
19,0.21905039220666017,0.3202587366104126,0.22386543452739716,129.10629987716675
20,0.21853620284799785,0.3247644901275635,0.22826041281223297,129.12007069587708
21,0.2180031111198531,0.3233668804168701,0.22720234096050262,129.13558411598206
22,0.21760228279271213,0.32292070984840393,0.2273145467042923,128.88613843917847
23,0.21710292858138913,0.3223276436328888,0.22564683854579926,127.63345623016357
24,0.2167553602441753,0.3229674696922302,0.22641903162002563,129.07911491394043
25,0.21633081848479702,0.3186611831188202,0.22323311865329742,128.4835865497589
26,0.2160345465950995,0.3174654543399811,0.22116607427597046,127.4267647266388
27,0.21561257980869558,0.3207811117172241,0.2237069308757782,348.0106134414673
28,0.2151391061876852,0.32364189624786377,0.22741568088531494,346.6247625350952
29,0.21491362653536863,0.3187166154384613,0.22286991775035858,346.96981048583984
0,0.28970941472584777,0.3426617980003357,0.25184303522109985,128.0199077129364
1,0.24729077836937555,0.34554171562194824,0.2562711536884308,128.08471632003784
2,0.24041763498403187,0.33923324942588806,0.2451273500919342,128.13285303115845
3,0.23645944286648443,0.3390697240829468,0.2453167736530304,128.0855815410614
4,0.23366084137452284,0.33554431796073914,0.23932144045829773,126.88438820838928
5,0.2314907397715165,0.33416974544525146,0.23789645731449127,126.96056270599365
6,0.2296828725988361,0.3308863639831543,0.23322410881519318,128.05903911590576
7,0.22829510123644384,0.33007705211639404,0.23370066285133362,126.84174823760986
8,0.22703970396220885,0.33140090107917786,0.23520728945732117,126.92664861679077
9,0.22603300401964838,0.32848694920539856,0.23267516493797302,128.00433349609375
10,0.22496234164255685,0.3279184103012085,0.23301765322685242,128.2463183403015
11,0.22417414498280866,0.32570138573646545,0.228488028049469,128.08204889297485
12,0.22333804871648008,0.3278847336769104,0.23268921673297882,128.12828540802002
13,0.22259265334319617,0.3246266841888428,0.22845013439655304,127.99124526977539
14,0.22191525285385655,0.32465824484825134,0.22858811914920807,128.24367833137512
15,0.22125547223804287,0.3227423131465912,0.226159006357193,127.94561004638672
16,0.2206625678424977,0.32638615369796753,0.22972875833511353,128.1876449584961
17,0.220079935760131,0.32713350653648376,0.2318982183933258,127.98416662216187
18,0.21948483289495502,0.32700058817863464,0.2316296100616455,128.05148077011108
19,0.21905039220666017,0.3202587366104126,0.22386543452739716,128.18719577789307
20,0.21853620284799785,0.3247644901275635,0.22826041281223297,127.91398096084595
21,0.2180031111198531,0.3233668804168701,0.22720234096050262,126.81588339805603
22,0.21760228279271213,0.32292070984840393,0.2273145467042923,126.88093733787537
23,0.21710292858138913,0.3223276436328888,0.22564683854579926,126.93759179115295
24,0.2167553602441753,0.3229674696922302,0.22641903162002563,126.91502666473389
25,0.21633081848479702,0.3186611831188202,0.22323311865329742,126.90198493003845
26,0.2160345465950995,0.3174654543399811,0.22116607427597046,126.86501264572144
27,0.2156026759798023,0.3195744752883911,0.22283238172531128,126.74787998199463
28,0.21521275859278333,0.3212721347808838,0.22521713376045227,126.98002862930298
29,0.21479460728844624,0.32066434621810913,0.22329464554786682,126.86342310905457
