epoch,train_loss,val_loss,val_mae,epoch_time_s
0,0.5202030508436042,0.4698427617549896,0.3096531629562378,9.611434936523438
1,0.478867347301821,0.44249704480171204,0.29398512840270996,7.737021446228027
2,0.46341810196013977,0.44334712624549866,0.2920682728290558,7.866785526275635
3,0.4531716159553012,0.43865978717803955,0.28669673204421997,7.809577703475952
4,0.4456305651556551,0.44402122497558594,0.28806060552597046,7.701176881790161
5,0.44115201979355456,0.43044933676719666,0.2856100797653198,7.781980752944946
6,0.4360601598263619,0.4414161443710327,0.2884596884250641,7.7242751121521
7,0.4335211367195189,0.43690207600593567,0.2866940200328827,7.703441619873047
8,0.4310649926879851,0.43312036991119385,0.28265324234962463,7.810307502746582
9,0.4287512503941438,0.43787217140197754,0.2856837511062622,7.952480316162109
10,0.4268731321183799,0.4375145137310028,0.2861114740371704,7.7810728549957275
11,0.42527018764412217,0.43826308846473694,0.2833889424800873,7.749757766723633
12,0.42400308557985966,0.44856342673301697,0.28404492139816284,7.862077951431274
13,0.42317987237301175,0.4424991011619568,0.2844606637954712,7.784881591796875
