epoch,train_loss,val_loss,val_mae,epoch_time_s
0,0.4614256687521202,0.4570675194263458,0.29973724484443665,8.993927478790283
1,0.42149507312579987,0.4486945569515228,0.29050731658935547,9.100842475891113
2,0.4095570822495761,0.4461767077445984,0.2908673882484436,9.057803869247437
3,0.4024990904844048,0.4482155740261078,0.2867485284805298,9.211609601974487
4,0.3971493732416389,0.45986565947532654,0.28925055265426636,9.10160231590271
5,0.39257801387580055,0.4557717740535736,0.2911890149116516,9.204874992370605
6,0.38838549679156664,0.47845348715782166,0.2963706851005554,9.020325660705566
7,0.385136883532509,0.4811173677444458,0.2954624891281128,9.13061785697937
8,0.38146221207305986,0.49527615308761597,0.2987343966960907,9.015640258789062
9,0.3784252136448583,0.5244845151901245,0.3031054139137268,8.930542707443237
10,0.37496538269247687,0.5361390709877014,0.30354079604148865,9.065438270568848
0,0.4613946639361143,0.45369720458984375,0.2990973889827728,149.64313459396362
1,0.42143698836021826,0.44948098063468933,0.290834903717041,149.25276565551758
2,0.40937852272085185,0.4418318569660187,0.29046714305877686,149.93883657455444
3,0.4028577904517029,0.446502685546875,0.28606733679771423,149.41069626808167
4,0.3978639702534236,0.4598402976989746,0.2905934751033783,149.25572228431702
5,0.3931617421131578,0.45523858070373535,0.2914624810218811,143.54104733467102
6,0.38878637966981994,0.4632624685764313,0.29470333456993103,149.40184926986694
7,0.385568769094293,0.4752662777900696,0.29294657707214355,149.4476935863495
8,0.382313109953954,0.49470600485801697,0.2973632514476776,149.70366787910461
9,0.37887553924316897,0.5086351037025452,0.3000183403491974,149.66522908210754
10,0.3754383989783941,0.5251722931861877,0.30290013551712036,149.51244235038757
