epoch,train_loss,val_loss,val_mae,epoch_time_s
0,0.2892542638583895,0.3449041247367859,0.2557508945465088,148.01703906059265
1,0.2474017897765432,0.3438027799129486,0.2535940706729889,148.08308172225952
2,0.2406290994452754,0.336034893989563,0.2409723401069641,148.13673949241638
3,0.2365526386626583,0.3394066393375397,0.24416230618953705,148.08714628219604
4,0.23373741235465798,0.3346349895000458,0.23840667307376862,148.1023452281952
5,0.23148400837066285,0.3326273560523987,0.23619796335697174,148.29737949371338
6,0.22978211585168176,0.3329993486404419,0.2373427450656891,148.13054585456848
7,0.22842601923665673,0.33103546500205994,0.23776409029960632,148.26838612556458
8,0.227158782340883,0.3293404281139374,0.2326650470495224,148.11521220207214
9,0.22611842098709378,0.33175328373908997,0.23594215512275696,148.07077836990356
10,0.22513088199594872,0.3255217671394348,0.22839690744876862,148.0573947429657
11,0.2243026283989075,0.32677194476127625,0.2305595874786377,148.03616189956665
12,0.22354238754506855,0.32527899742126465,0.22773166000843048,148.1525719165802
13,0.22279407448216437,0.32461535930633545,0.22642479836940765,148.08609771728516
14,0.22209483856972934,0.32283827662467957,0.2255818098783493,148.10561203956604
15,0.2215541954744031,0.3271533250808716,0.23047412931919098,249.23944973945618
16,0.22093968253373938,0.32645389437675476,0.23084656894207,128.2587809562683
17,0.2203672195531322,0.3203960657119751,0.22224783897399902,184.74880647659302
18,0.21980924189976145,0.3266982138156891,0.22856877744197845,278.16272735595703
19,0.21928712658226931,0.3211709260940552,0.22448089718818665,238.3906524181366
20,0.21872534530940368,0.32167625427246094,0.22460991144180298,283.19772505760193
21,0.2182837020175671,0.32468152046203613,0.22867901623249054,209.9683711528778
22,0.21794063492774318,0.32064536213874817,0.2244883030653,193.99731016159058
23,0.21744866827144405,0.32330605387687683,0.2270432412624359,192.2654845714569
24,0.2170368528885265,0.324967622756958,0.22844728827476501,192.36491751670837
25,0.21660125892481072,0.3192342519760132,0.22045180201530457,193.44380950927734
26,0.2162178682363331,0.31915029883384705,0.2216978520154953,195.10714530944824
27,0.21588180233786672,0.32053977251052856,0.22209955751895905,196.24628734588623
28,0.2154979391487606,0.32080867886543274,0.222129225730896,197.04802179336548
29,0.21509411021473437,0.31926319003105164,0.2202105075120926,198.92595767974854
27,0.2158722339309928,0.3222807049751282,0.22488698363304138,149.10244417190552
28,0.2154882162064817,0.31825193762779236,0.22259610891342163,149.12341046333313
29,0.21513688097444442,0.3202686607837677,0.2238701432943344,149.06230688095093
